vectorizer,dimensions,classifier,round,vector_time (s),train_time (s),accuracy,precision,recall,f1
Pt-BR_Word2Vec,300,lstm,0,211.3397917000002,400.7937778000014,0.9922166874221668,0.9925143697366662,0.9907926341072858,0.9916527545909849
Pt-BR_Word2Vec,300,lstm,1,222.52389740000217,403.95469779999985,0.9924034869240349,0.9925173703901656,0.9911929543634908,0.991854720256376
Pt-BR_Word2Vec,300,lstm,2,221.3995070000019,411.36365170000136,0.9923412204234122,0.9926480417056543,0.9909260741926875,0.9917863105175292
Pt-BR_Word2Vec,300,lstm,3,219.57536499999696,414.11994140000024,0.9919053549190535,0.9904102290889718,0.992260475046704,0.9913344887348353
Pt-BR_Word2Vec,300,lstm,4,222.1826340000007,430.2806057000016,0.9926525529265255,0.9922584089695675,0.9919935948759008,0.9921259842519685
Pt-BR_Word2Vec,300,lstm,5,220.6396154000031,431.2377665999993,0.9925902864259029,0.9930471988233721,0.9910595142780891,0.992052360916316
Pt-BR_Word2Vec,300,lstm,6,221.28025879999768,434.5281373999969,0.9924034869240349,0.9929125434608184,0.9907926341072858,0.9918514560512957
Pt-BR_Word2Vec,300,lstm,7,222.9417128999994,445.2029470000016,0.9919053549190535,0.9930369576861274,0.9895916733386709,0.9913113220157733
Pt-BR_Word2Vec,300,lstm,8,218.55289260000063,441.58443989999796,0.9922166874221668,0.9930416164860163,0.9902588737656792,0.991648292911071
Pt-BR_Word2Vec,300,lstm,9,216.97542740000063,444.50209729999915,0.9920298879202989,0.9918536324786325,0.9910595142780891,0.9914564143639033
Pt-BR_Word2Vec,600,lstm,0,400.5239827000005,1162.5605617,0.9922789539227895,0.9927788178657395,0.9906591940218842,0.9917178733636121
Pt-BR_Word2Vec,600,lstm,1,408.54394799999864,1196.2440443000014,0.9920921544209216,0.9933038703629302,0.9897251134240725,0.9915112626161352
Pt-BR_Word2Vec,600,lstm,2,405.12830219999887,1245.8012562000004,0.9925280199252802,0.9923878205128205,0.9915932746196957,0.9919903884661594
Pt-BR_Word2Vec,600,lstm,3,497.74662810000154,1120.0164177999977,0.9922789539227895,0.9927788178657395,0.9906591940218842,0.9917178733636121
Pt-BR_Word2Vec,600,lstm,4,487.82083770000463,1104.293627500003,0.9917808219178083,0.9923756019261637,0.9899919935948759,0.991182364729459
Pt-BR_Word2Vec,600,lstm,5,488.2531212000031,1743.4363636999988,0.9923412204234122,0.9929115955597164,0.9906591940218842,0.9917841159575178
Pt-BR_Word2Vec,600,lstm,6,715.2176647000015,1215.6142878000028,0.9924034869240349,0.9934404283801874,0.9902588737656792,0.991847099705961
Pt-BR_Word2Vec,600,lstm,7,724.7537995000021,969.0034570999997,0.9918430884184308,0.9901477832512315,0.9923939151321057,0.9912695768077308
Pt-BR_Word2Vec,600,lstm,8,725.522818700003,744.8472182000041,0.9925902864259029,0.9925203686389742,0.9915932746196957,0.9920566050330418
Pt-BR_Word2Vec,600,lstm,9,719.0286208999969,747.1348591999995,0.9922789539227895,0.9941002949852508,0.9893247931678676,0.9917067950775816
Pt-BR_Word2Vec,1000,lstm,0,1113.5601723,1769.767194600001,0.9929638854296389,0.993844506891476,0.9910595142780891,0.9924500567916082
